"","left_95","right_95"
"intercept",-12.710422901413,-12.2561848611486
"FEMALE",1.11449337584562,1.19397031211243
"AGE",0.0312531975816185,0.0333552451610231
"EDUCATION",0.096466725861865,0.106012894129218
"DEPENDENCY_RATIO",0.0519305941017461,0.0664593919150636
"SOCIAL_PARTICIPATION",0.00333774350872043,0.0901342408164879
"COFFEE_TREES",-0.111166560810429,-0.0889464841704795
"PROPORTION_LAND_RENTED",-0.599461182229136,-0.354316783051318
"ASSETS",0.0244439721514528,0.0472764676823974
"ALTITUDE",3.23526730488239,3.44858830076938
"DISTANCE_PAVED_ROAD",-0.643926951148074,-0.614361613769826
"DECISION_DISAGREEMENTS",-1.27419050881637,-1.19752731601994
"PRICE_PREFERENCES",-0.117004125535845,-0.00900304629129404
"INPUT_PREFERENCES",0.424366801411907,0.579990493207075
"RELATIVE_PRICE_DIFFERENTIAL",0.982254705491464,1.01317144244145
"OV",-0.280048783970861,0.0339167725197516
