"","left_95","right_95"
"intercept",-11.4490184779756,-11.0724558772079
"FEMALE",0.932076904676247,1.02557742279555
"AGE",0.0285188139788057,0.0308752785484693
"EDUCATION",0.104634513260651,0.114483323893997
"DEPENDENCY_RATIO",0.0620824228119386,0.0781154958363296
"SOCIAL_PARTICIPATION",0.158025103964597,0.244869269168
"COFFEE_TREES",-0.0206326235624867,0.000800472869328204
"PROPORTION_LAND_RENTED",-0.647970852637971,-0.425311958562589
"ASSETS",0.0244807153553653,0.0499790699429823
"ALTITUDE",3.8939951774731,4.06881479310439
"DISTANCE_PAVED_ROAD",-0.832826852408157,-0.803988194987328
"DECISION_DISAGREEMENTS",-1.25079852658462,-1.16932884388766
"PRICE_PREFERENCES_RESIDUALS",-0.121846456446261,0.0240656691017329
"INPUT_PREFERENCES_RESIDUALS",0.432137676647134,0.572786610767311
"RELATIVE_PRICE_DIFFERENTIAL_RESIDUALS",0.987001527754977,1.03017184897355
"OV",-0.0819586694048929,0.238913999114476
