"","left_95","right_95"
"intercept",-11.0570340290954,-10.9467920193003
"FEMALE",1.05567243359444,1.07338298279494
"AGE",0.0287576240537452,0.0292726273120902
"EDUCATION",0.091047287202929,0.0931759276932395
"DEPENDENCY_RATIO",0.0536404208853086,0.0571030041549953
"SOCIAL_PARTICIPATION",0.0560904659038224,0.0798795117949568
"COFFEE_TREES",-0.242229052134769,-0.232913471442757
"COFFEE_TREES_SQR",0.0163201719687076,0.0170057179728034
"PROPORTION_LAND_RENTED",-0.519045866799276,-0.467419981599509
"ASSETS",0.0458439159678118,0.051680604937525
"ALTITUDE",2.97387943954411,3.02461121223281
"DISTANCE_PAVED_ROAD",-0.56645978270968,-0.560380059495876
"DECISION_DISAGREEMENTS",-1.15142021871185,-1.13175389996106
"PRICE_PREFERENCES",-0.104715811619981,-0.0840139809976488
"INPUT_PREFERENCES",0.432443663455056,0.472410299840871
"RELATIVE_PRICE_DIFFERENTIAL",0.916083883701419,0.925258338027905
"OV",-0.0765938934004465,0.0386455210418488
