"","left_95","right_95"
"intercept",-6.47146802732043,-6.34522254997452
"AGE_HEAD",0.0205507769763891,0.0214376478397919
"EDUCATION_HEAD",0.0679613140297586,0.0705797279679376
"DEPENDENCY_RATIO",0.0909551540252568,0.0966535252658313
"SOCIAL_PARTICIPATION",0.195420833383293,0.22355785740739
"COFFEE_TREES",-0.0621681790900129,-0.0514361013257415
"COFFEE_TREES_SQR",0.00518230257491643,0.00583343755400716
"PROPORTION_LAND_RENTED",-0.359911420439537,-0.300659353270436
"ASSETS",-0.0359023105599727,-0.0337339135261501
"ALTITUDE",2.29961724171786,2.35979726627466
"DISTANCE_PAVED_ROAD",-0.565781274928933,-0.558383542445541
"DECISION_DISAGREEMENTS",-0.861774669604829,-0.84425445959715
"PRICE_PREFERENCES",0.345143897226677,0.374422991329458
"INPUT_PREFERENCES",-0.649521010386351,-0.6189442548316
"RELATIVE_PRICE_DIFFERENTIAL",2.54270771961378,2.61537863116691
"OV",-0.0335119774269074,0.0838158754310735
