"","left_95","right_95"
"intercept",7.59817169034545,7.74391717440278
"AGE_HEAD",-0.0267187181904911,-0.0257710491782899
"EDUCATION_HEAD",-0.0813447809270558,-0.0779823677640332
"DEPENDENCY_RATIO",-0.128174262020644,-0.121901130633101
"SOCIAL_PARTICIPATION",-0.282604357136859,-0.253788661010736
"COFFEE_TREES",-0.0654536868428385,-0.0531248182574948
"COFFEE_TREES_SQR",0.00786948133061787,0.00869961438947984
"PROPORTION_LAND_RENTED",0.222536041890292,0.275103580989137
"ASSETS",0.0439668331937057,0.0457805718035564
"ALTITUDE",-2.77917331310634,-2.7189203564467
"DISTANCE_PAVED_ROAD",0.624934472733663,0.636579097613809
"DECISION_DISAGREEMENTS",0.929817996541338,0.956396669160743
"PRICE_PREFERENCES",-0.405513879943704,-0.363089796526538
"INPUT_PREFERENCES",0.88565069559592,0.960400963848062
"RELATIVE_PRICE_DIFFERENTIAL",-2.60642167029434,-2.51612930223998
"OV",-0.128066133776206,0.00312460096048204
