"","GINI","Theil","mld"
"overall",0.38966882603296,0.251392124055977,0.376674486478752
"AGE_HEAD",-0.00905151817051915,-0.0105703762494562,0.00613635611224456
"EDUCATION_HEAD",-0.00291153174836422,-0.00292340632486183,0.00288038060506623
"DEPENDENCY_RATIO",-0.00611187066751202,-0.00770173313197286,0.0126487764516776
"SOCIAL_PARTICIPATION",-0.00760921864373597,-0.0144058616225211,-0.0111587875642831
"COFFEE_TREES",-0.00134770043100696,0.000655751230906198,0.00904655802168011
"COFFEE_TREES_SQR",0.00674547591120713,0.0153333287265446,0.0167547644616219
"PROPORTION_LAND_RENTED",-0.0031778862868732,-0.00778496328757447,-0.00878028747552735
"ASSETS",-0.00646763333944419,-0.014864721604187,-0.0119652547401481
"ALTITUDE",0.0031988264206512,-0.0030491212112867,-0.0811833673439276
"DISTANCE_PAVED_ROAD",-0.20813780779811,-0.401604752225115,-0.556110755406941
"DECISION_DISAGREEMENTS",-0.0728626664675431,-0.138412774588084,-0.129193006105864
"coffee_trees_all",0.00456792865921164,0.00887950462712982,0.00991242625121515
"spatial",-0.373417443326307,-0.625500965774455,-0.737415040937499
