"","GINI","Theil","mld"
"overall",0.503295585613643,0.425678530963813,0.690570526549316
"FEMALE",0.0138957070025312,0.0253613496310393,0.0191014620531571
"AGE",0.000792407155560418,0.00638363370734147,0.0125990840871711
"EDUCATION",0.00279785751035839,0.00606372721170764,0.0161457328718241
"DEPENDENCY_RATIO",-0.00376335632886479,-0.0063495011177413,0.0063907071314214
"SOCIAL_PARTICIPATION",-0.00208866837850502,-0.00500380919362654,-0.002809657787406
"COFFEE_TREES",0.00166477924993308,0.00444608748286766,0.00536574583934924
"COFFEE_TREES_SQR",0.001015011333533,0.00036324005387353,-0.000412236502330194
"PROPORTION_LAND_RENTED",-0.0041879479865614,-0.0089790959556567,-0.00861015794427416
"ASSETS",0.000263114791240588,0.00131699137030169,0.00141073544516451
"ALTITUDE",0.0145876308819588,0.0227020832842576,-0.0646659910221596
"DISTANCE_PAVED_ROAD",-0.122357444305085,-0.251388135608411,-0.455095827359044
"DECISION_DISAGREEMENTS",-0.0557622409582168,-0.116652975973754,-0.109756011601385
"coffee_trees_all",0.00223884616382949,0.00315476400438011,0.00169999963712343
"spatial",-0.29426593383958,-0.519995501410749,-0.691779922940841
